"township"|"range"|"section"
X|X||00000001.PDF
X|X||00000002.PDF
40-41|13||00000003.PDF
39-42|12||00000004.PDF
35-39|11-14||00000005.PDF
35-37|12-15||00000006.PDF
40-42|11-12||00000007.PDF
38-41|12-13||00000008.PDF
40-41|12||00000009.PDF
36-37|12-15||00000010.PDF
37-42|11-13||00000011.PDF
41-42|12-13|08-36|00000012.PDF
39-41|12-13||00000013.PDF
37-42|12-13||00000014.PDF
40|13|03-10|00000015.PDF
X|X||00000016.PDF
41|13|30|00000017.PDF
X|X||00000018.PDF
36-39|13-14|18|00000019.PDF
42|10|03-09|00000020.PDF
35|15|06|00000021.PDF
36|15||00000022.PDF
35|14||00000023.PDF
35|14||00000024.PDF
35|14||00000025.PDF
35|14||00000026.PDF
35|13|36|00000027.PDF
35-36|06-20||00000028.PDF
36|12|04-05|00000029.PDF
36|14|05-35|00000030.PDF
36|14|27|00000031.PDF
36|14|26-27|00000032.PDF
36|14-15|13-18|00000033.PDF
36|14-15||00000034.PDF
36|14|26|00000035.PDF
36|14|25|00000036.PDF
36|14|23|00000037.PDF
39|12|29-33|00000038.PDF
39|12||00000039.PDF
39|12||00000040.PDF
39|12||00000041.PDF
39|12||00000042.PDF
39|12||00000043.PDF
39|12||00000044.PDF
39|12||00000045.PDF
39|12|27-33|00000046.PDF
36|12|01-12|00000047.PDF
39|12||00000048.PDF
39|12|21-35|00000049.PDF
40|12|03-35|00000050.PDF
41|09||00000051.PDF
41|09||00000052.PDF
40|12||00000053.PDF
41|12|16|00000054.PDF
39|12|02|00000055.PDF
37|15||00000056.PDDF
37|15||00000057.PDF
40|13||00000058.PDF
39|12|14-35|00000059.PDF
41|12||00000060.PDF
41|12|08-33|00000061.PDF
41|12|08-34|00000062.PDF
41|12|28|00000063.PDF
41|12||00000064.PDF
41|12||00000065.PDF
36|13|05-29|00000066.PDF
41|12||00000067.PDF
41|11||00000068.PDF
41|13||00000069.PDF
41|13||00000070.PDF
37|11|12-24|00000071.PDF
36-41|12-15||00000072.PDF
37|11|1224|00000073.PDF
37|12||00000074.PDF
41|11|17-30|00000075.PDF
36|13|10-15|00000076.PDF
41|11|16-29|00000077.PDF
37|13|31-32|00000078.PDF
38|12|01-34|00000079.PDF
42|12|01-24|00000080.PDF
42|12|06|00000081.PDF
37|12||00000082.PDF
38|12||00000083.PDF
38|14||00000084.PDF
38-39|12||00000085.PDF
38|12||00000086.PDF
37|14|06-35|00000087.PDF
37|12|05-34|00000088.PDF
41|13||00000089.PDF
41|13||00000090.PDF
42|12|18-32|00000091.PDF
36|13|21-29|00000092.PDF
42|12|03-36|00000093.PDF
37|12||00000094.PDF
36|12-13||00000095.PDF
42|12||00000096.PDF
41|13|08-31|00000097.PDF
42|12-13|06-30|00000098.PDF
42|11|01-36|00000099.PDF
42|12||00000100.PDF
42|11||00000101.PDF
42|11||00000102.PDF
36|14|14-27|00000103.PDF
42|09|05-17|00000104.PDF
36|13|32|00000105.PDF
41|12||00000106.PDF
37|11||00000107.PDF
38|14|31|00000108.PDF
42|09-10|01-07|00000109.PDF
42|10||00000110.PDF
42|11-12|19-36|00000111.PDF
