"section"|"township"|"range"|"part of section"
08-42-10|||E1/2|00000001.PDF
08-42-10|||W1/2|00000002.PDF
10-42-10|||E1/2|00000003.PDF
10-42-10|||W1/2|00000004.PDF
29-42-10|||E1/2|00000005.PDF
30-42-10|||W1/2|00000006.PDF
30-42-10|||E1/2|00000007.PDF
30-42-10|||W1/2|00000008.PDF
30-42-10|||E1/2|00000009.PDF
31-42-10|||W1/2|00000010.PDF
31-42-10|||E1/2|00000011.PDF
32-42-10|||E1/2|00000012.PDF
32-42-10|||W1/2|00000013.PDF
33-42-10|||W1/2|00000014.PDF
01-42-11|||E1/2|00000015.PDF
01-42-11|||W1/2|00000016.PDF
02-42-11|||E1/2|00000017.PDF
02-42-11|||W1/2|00000018.PDF
12-42-11|||W1/2|00000019.PDF
12-42-11|||E1/2|00000020.PDF
13-42-11|||E1/2|00000021.PDF
13-42-11|||W1/2|00000022.PDF
24-42-11|||E1/2|00000023.PDF
24-42-11|||W1/2|00000024.PDF
25-42-11|||E1/2|00000025.PDF
25-42-11|||W1/2|00000026.PDF
36-42-11|||E1/2|00000027.PDF
36-42-11|||W1/2|00000028.PDF
01-42-12|||W1/2|00000029.PDF
01-42-12|||E1/2|00000030.PDF
01-42-12|||W1/2|00000031.PDF
01-42-12|||E1/2|00000032.PDF
02-42-12|||E1/2|00000033.PDF
02-42-12|||W1/2|00000034.PDF
03-42-12|||E1/2|00000035.PDF
03-42-12|||W1/2|00000036.PDF
04-42-12|||E1/2|00000037.PDF
04-42-12||||00000038.PDF
06-42-12|||E1/2|00000039.PDF
06-42-12|||W1/2|00000040.PDF
07-42-12|||W1/2|00000041.PDF
10-42-12|||E1/2|00000042.PDF
10-42-12|||W1/2|00000043.PDF
11-42-12|||E1/2|00000044.PDF
11-42-12|||W1/2|00000045.PDF
11-42-12|||W1/2|00000046.PDF
12-42-12||||00000047.PDF
12-42-12|||W1/2|00000048.PDF
13-42-12|||E1/2|00000049.PDF
13-42-12|||W1/2|00000050.PDF
18-42-12|||E1/2|00000051.PDF
18-42-12|||W1/2|00000052.PDF
19-42-12||||00000053.PDF
19-42-12|||E1/2|00000054.PDF
19-42-12|||W1/2|00000055.PDF
19-42-12||||00000056.PDF
24-42-12|||E1/2|00000057.PDF
25-42-12|||E1/2|00000058.PDF
25-42-12|||W1/2|00000059.PDF
04-42-12||||00000060.PDF
29-42-12|||W1/2|00000061.PDF
29-42-12|||E1/2|00000062.PDF
29-42-12||||00000063.PDF
30-42-12|||E1/2|00000064.PDF
30-42-12|||W1/2|00000065.PDF
31-42-12|||W1/2|00000066.PDF
31-42-12|||E1/2|00000067.PDF
31-42-12||||00000068.PDF
32-42-12|||E1/2|00000069.PDF
32-42-12|||W1/2|00000070.PDF
36-42-12|||E1/2|00000071.PDF
36-42-12|||W1/2|00000072.PDF
06-42-13|||W1/2|00000073.PDF
06-42-13|||E1/2|00000074.PDF
